scheduled_depart
00:45
2:10
5:30
6:10
7:05
7:55
8:45
9:35
10:40
11:25
12:25
13:10
14:05
15:00
15:50
16:45
17:45
18:30
19:30
20:15
21:20
22:05
22:50
