scheduled_depart
00:15
4:45
5:30
6:25
7:00
7:55
8:40
9:35
10:20
11:05
11:55
12:45
13:30
14:30
15:10
16:00
16:40
17:30
18:10
19:00
19:45
20:20
21:10
21:40
22:30
23:10
