scheduled_depart
00:45
5:35
6:15
7:10
7:55
8:50
9:35
10:20
11:05
11:55
12:40
13:35
14:25
15:15
15:55
16:45
17:25
18:15
19:00
19:40
20:30
21:05
21:50
22:25
23:10
23:45
