scheduled_depart
00:00
1:25
4:45
5:20
6:20
7:05
7:55
8:45
9:40
10:25
11:30
12:20
13:15
14:05
14:55
15:50
16:45
17:35
18:40
19:20
20:20
21:00
22:00
23:30
