"candidate_name","contributor_name","total_contributed","contribution_size"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON1",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON2",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON3",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON4",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON5",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON6",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON7",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON8",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON9",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON10",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON11",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON12",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON13",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON14",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON15",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON16",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON17",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON18",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON19",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON20",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON21",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON22",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON23",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON24",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON25",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON26",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON27",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON28",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON29",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON30",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON31",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON32",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON33",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON34",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON35",44.0285714285714,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON36",78,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON37",78,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON38",78,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON39",78,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON40",78,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON41",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON42",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON43",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON44",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON45",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON46",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON47",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON48",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON49",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON50",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON51",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON52",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON53",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON54",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON55",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON56",35.5833333333333,"SMALL (<=$150)"
"KATIE WILSON","SMALL CONTRIBUTIONS (<=$150)-KATIE WILSON57",35.5833333333333,"SMALL (<=$150)"
